Version,generalInfo,distance,update,cost
"1996 MAZDA RX7, RX 7 โฉม ปี92-97",สีเขียว เกียร์ธรรมดา ทะเบียน 1กณ5606 กรุงเทพฯ,"260,000 ",อัพเดท  2 วัน ผู้เข้าชม  3216,"2,990,000"
"1997 MAZDA RX7, RX 7 โฉม ปี92-97",สีเขียว เกียร์ธรรมดา ทะเบียน 1กฌ5606 กรุงเทพฯ,"26,898 ",อัพเดท  5 วัน ผู้เข้าชม  3099,"2,790,000"
"2003 MAZDA FIGHTER, 2.5 FREESTYLECAB LUX (WLT) โฉม SUPER CAB/FREE STYLE",สี เกียร์ธรรมดา ทะเบียน 1ฒอ4479 กรุงเทพฯ,"350,000 ",อัพเดท  3 วัน ผู้เข้าชม  3534,"128,000"
"2003 MAZDA MX5, MX-5 1.8 โฉม ปี02-05",สีเหลือง  เกียร์ธรรมดา ทะเบียน พว554 กรุงเทพฯ,"70,280 ",อัพเดท  1 วัน ผู้เข้าชม  2620,"978,000"
"2004 MAZDA TRIBUTE, 3.0 V6 โฉม ปี03-07",สีน้ำตาล เกียร์ออโต้ ทะเบียน 3ขภ9716 กรุงเทพฯ,"240,000 ",อัพเดท  3 ชม. ผู้เข้าชม  2981,"129,000"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน ศล5386 กรุงเทพฯ,"282,000 ",อัพเดท  3 วัน ผู้เข้าชม  1180,"110,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน ชข578 กรุงเทพฯ,"278,000 ",อัพเดท  3 สัปดาห์ ผู้เข้าชม  4086,"120,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีน้ำตาล เกียร์ออโต้ ทะเบียน 5กส5626 กรุงเทพฯ,"220,000 ",อัพเดท  1 วัน ผู้เข้าชม  2784,"125,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน ศย7998 กรุงเทพฯ,"163,000 ",อัพเดท  8 ชม. ผู้เข้าชม  2330,"149,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 2.0 SPORT โฉม ปี05-10 5Dr",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน ศห326 กรุงเทพฯ,"59,733 ",อัพเดท  5 วัน ผู้เข้าชม  1003,"168,000 บาทราคาป้ายแดง984"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน 5กบ949 กรุงเทพฯ,"380,244 ",อัพเดท  2 วัน ผู้เข้าชม  1141,"168,000 บาทราคาป้ายแดง842"
"2005 MAZDA RX8, 1.3 โฉม ปี04-11",สีเหลือง  เกียร์ออโต้ ทะเบียน ศส8898 กรุงเทพฯ,"76,000 ",อัพเดท  3 วัน ผู้เข้าชม  1239,"699,000"
"2005 MAZDA MX5, MX-5 1.8 โฉม ปี02-05",สีแดง เกียร์ออโต้ ทะเบียน พค6498 กรุงเทพฯ,"72,000 ",อัพเดท  4 วัน ผู้เข้าชม  1407,"800,000"
"2007 MAZDA MAZDA3, 1.6 SPIRIT SPORT โฉม ปี05-10 5Dr",สีดำ เกียร์ออโต้ ทะเบียน ชว5679 กรุงเทพฯ,"260,000 ",อัพเดท  1 วัน ผู้เข้าชม  829,"139,000"
"2007 MAZDA MAZDA3, 2.0 SPORT โฉม ปี05-10 5Dr",สีเทา เกียร์ออโต้ ทะเบียน 3กย1468 กรุงเทพฯ,"180,173 ",อัพเดท  11 ชม. ผู้เข้าชม  4856,"89,000 บาทราคาป้ายแดง984"
"2007 MAZDA MAZDA3, 2.0 R โฉม ปี05-10 4Dr",สีดำ เกียร์ออโต้ ทะเบียน 3ขส4102 กรุงเทพฯ,"160,000 ",อัพเดท  1 ชม. ผู้เข้าชม  480,"129,000 บาทราคาป้ายแดง1,084"
"2007 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 5Dr",สีขาว เกียร์ออโต้ ทะเบียน ชต1009 กรุงเทพฯ,"245,000 ",อัพเดท  7 ชม. ผู้เข้าชม  1928,"139,000 บาทราคาป้ายแดง916"
"2007 MAZDA MX5, MX-5 2.0 โฉม ปี06-14",สีดำ เกียร์ออโต้ ทะเบียน 3ขถ7305 กรุงเทพฯ,"160,000 ",อัพเดท  1 สัปดาห์ ผู้เข้าชม  3552,"990,000"
"2008 MAZDA MAZDA3, 2.0 R โฉม ปี05-10 4Dr",สีขาว เกียร์ออโต้ ทะเบียน ฌถ2658 กรุงเทพฯ,"150,000 ",อัพเดท  4 วัน ผู้เข้าชม  4966,"159,000 บาทราคาป้ายแดง1,084"
"2008 MAZDA MAZDA3, 2.0 R SPORT โฉม ปี05-10 5Dr",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน ฌค9720 กรุงเทพฯ,"138,921 ",อัพเดท  2 ชม. ผู้เข้าชม  473,"188,000 บาทราคาป้ายแดง1,034"
"2008 MAZDA MX5, MX-5 2.0 โฉม ปี06-14",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน ฌง442 กรุงเทพฯ,"107,000 ",อัพเดท  4 ชม. ผู้เข้าชม  4580,"959,000"
"2008 MAZDA MX5, MX-5 ROADSTER 1800 RS โฉม ปี06-14",สีดำ เกียร์ออโต้ ทะเบียน ฌศ5277 กาญจนบุรี,"80,000 ",อัพเดท  9 ชม. ผู้เข้าชม  2687,"1,150,000"
"
ขออภัยไม่พบรถคันที่คุณค้นหา",สีดำ เกียร์ออโต้ ทะเบียน ฌศ5277 กาญจนบุรี,"80,000 ",อัพเดท  9 ชม. ผู้เข้าชม  2687,"1,150,000"
"2009 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน ฎง693 กรุงเทพฯ,"315,000 ",อัพเดท  3 วัน ผู้เข้าชม  1726,"125,000 บาทราคาป้ายแดง842"
"2009 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 4ขฌ4749 กรุงเทพฯ,"150,888 ",อัพเดท  8 ชม. ผู้เข้าชม  629,"159,000 บาทราคาป้ายแดง842"
"2009 MAZDA MAZDA3, 2.0 R SPORT โฉม ปี05-10 5Dr",สีเทา เกียร์ออโต้ ทะเบียน พอ9989 กรุงเทพฯ,"78,058 ",อัพเดท  4 ชม. ผู้เข้าชม  2139,"199,000 บาทราคาป้ายแดง1,034"
"2009 MAZDA CX-7, 2.3 โฉม ปี07-10",สีเทา เกียร์ออโต้ ทะเบียน 1ขย9807 กรุงเทพฯ,"101,000 ",อัพเดท  3 ชม. ผู้เข้าชม  610,"309,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





60
เดือน








50,000
ดาวน์







5,881
ผ่อน



หารถโฉมนี้ที่ดาวน์ 50,000"
"2009 MAZDA RX8, 1.3 โฉม ปี04-11",สีขาว เกียร์ออโต้ ทะเบียน ฌล6791 กรุงเทพฯ,"13,427 ",อัพเดท  1 วัน ผู้เข้าชม  2645,"899,000"
"2009 MAZDA MX5, MX-5 2.0 โฉม ปี06-14",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน ฌบ5439 กรุงเทพฯ,"92,163 ",อัพเดท  2 ชม. ผู้เข้าชม  1531,"1,090,000"
