id,name,price,salePrice,distance,fuel,color,address,injure,web,webid,date
1,2019 Mazda CX-5 TURBO SP (4WD) 2.5,"1,240,900 บาท","922,900
          บาท","77,291",เบนซิน,ดำ,"CARSOME Bangbon, Bang Bon",ประตูหน้าซ้าย ประตูหน้าซ้ายสีด่าง แก้มหลังขวา แก้มหลังขวามีรอยกระเทาะ,carsome,"buy-car/mazda/cx-5/2019-mazda-cx-5-turbo-sp--4wd--2.5/c2r3000
",2023-10-28
2,2019 Mazda CX-5 TURBO SP (4WD) 2.5,"1,231,900 บาท","922,900
          บาท","24,085",เบนซิน,แดง,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/cx-5/2019-mazda-cx-5-turbo-sp--4wd--2.5/cdx3000
",2023-10-28
3,2019 Mazda CX-5 XD 2.2,"1,012,900 บาท","917,900
          บาท","85,775",เบนซิน,ขาว,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/cx-5/2019-mazda-cx-5-xd-2.2/cy14000
",2023-10-28
4,2019 Mazda 3 SP 2.0,"798,900 บาท","753,900
          บาท","63,437",เบนซิน,ดำ,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/3/2019-mazda-3-sp-2.0/c5a4000
",2023-10-28
5,2013 Mazda 3 MAXX SPORTS 2.0,"332,900 บาท","321,900
          บาท","126,868",เบนซิน,ขาว,"CARSOME Srinagarindra, Pra Vet",,carsome,"buy-car/mazda/3/2013-mazda-3-maxx-sports-2.0/cf64000
",2023-10-28
6,2017 Mazda 2 HIGH PLUS 1.3,"402,900 บาท","397,900
          บาท","147,076",เบนซิน,น้ำเงิน,"CARSOME Bangyai, Pak Kret",ระบบสตาร์ท ระบบ i-Stop ไม่ทำงาน เนื่องจากปิดระบบมา,carsome,"buy-car/mazda/2/2017-mazda-2-high-plus-1.3/cy94000
",2023-10-28
7,2019 Mazda 3 SP 2.0,"800,900 บาท","777,900
          บาท","89,810",เบนซิน,ดำ,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/3/2019-mazda-3-sp-2.0/c2c4000
",2023-10-28
8,2018 Mazda CX-3 S 2.0,"588,900 บาท","571,900
          บาท","69,436",เบนซิน,น้ำตาล,"CARSOME Bangyai, Pak Kret",,carsome,"buy-car/mazda/cx-3/2018-mazda-cx-3-s-2.0/chc4000
",2023-10-28
9,2020 Mazda CX-30 SP 2.0,"859,900 บาท","758,900
          บาท","65,472",เบนซิน,ขาว,"CARSOME Bangyai, Pak Kret",ผ้าบุหลังคา ผ้าบุหลังคามีคราบฝังแน่น,carsome,"buy-car/mazda/cx-30/2020-mazda-cx-30-sp-2.0/cx54000
",2023-10-28
10,2015 Mazda 2 SKYACTIV XD SPORTS HIGH PLUS 1.5,"393,900 บาท","366,900
          บาท","149,669",ดีเซล,ขาว,"CARSOME Srinagarindra, Pra Vet",ช่องปรับอากาศด้านหน้า ช่องลมแอร์ตำแหน่งกลางปิดไม่ได้ กระจกมองหลัง กระจกมองหลังเสื่อมสภาพ น้ำมันเกียร์ อ่างน้ำมันเกียร์บุบ,carsome,"buy-car/mazda/2/2015-mazda-2-skyactiv-xd-sports-high-plus-1.5/cd64000
",2023-10-28
11,2017 Mazda 2 XD HIGH PLUS L 1.5,"461,900 บาท","456,900
          บาท","78,396",ดีเซล,ดำ,"CARSOME Bangbon, Bang Bon",เครื่องเล่นวิทยุ ระบบสัมผัสบนจอเครื่องเล่นวิทยุไม่ทำงาน,carsome,"buy-car/mazda/2/2017-mazda-2-xd-high-plus-l-1.5/c9c4000
",2023-10-28
12,2018 Mazda 2 HIGH PLUS 1.3,"430,900 บาท","394,900
          บาท","62,389",เบนซิน,แดง,"CARSOME Srinagarindra, Pra Vet",,carsome,"buy-car/mazda/2/2018-mazda-2-high-plus-1.3/c4b4000
",2023-10-28
13,2019 Mazda 3 SP SPORTS 2.0,"810,900 บาท","778,900
          บาท","65,827",เบนซิน,เทา,"CARSOME Bangyai, Pak Kret",,carsome,"buy-car/mazda/3/2019-mazda-3-sp-sports-2.0/cl84000
",2023-10-28
14,2016 Mazda 2 HIGH CONNECT 1.3,"362,900 บาท","357,900
          บาท","152,046",เบนซิน,แดง,"CARSOME Srinagarindra, Pra Vet",,carsome,"buy-car/mazda/2/2016-mazda-2-high-connect-1.3/c7b4000
",2023-10-28
15,2017 Mazda 3 S SPORTS 2.0,"544,900 บาท","528,900
          บาท","104,818",เบนซิน,น้ำตาล,"CARSOME Srinagarindra, Pra Vet",,carsome,"buy-car/mazda/3/2017-mazda-3-s-sports-2.0/cvb4000
",2023-10-28
16,2015 Mazda 2 SKYACTIV XD SPORTS HIGH PLUS 1.5,"393,900 บาท","388,900
          บาท","126,830",ดีเซล,แดง,"CARSOME Ratchayothin, Lat Phrao",กระจังหน้า กระจังหน้ามีรอยแตก กระจกประตูหลังขวา กระจกประตูหลังขวามีรอยขีด คอนโซลหน้า / แผงควบคุม ระบบ i-Stop ถูกปิด ใช้งานไม่ได้,carsome,"buy-car/mazda/2/2015-mazda-2-skyactiv-xd-sports-high-plus-1.5/c5g4000
",2023-10-28
17,2018 Mazda BT-50 PRO FREESTYLE CAB V 2.2,"361,900 บาท","350,900
          บาท","44,110",ดีเซล,เทา,"CARSOME Bangbon, Bang Bon",,carsome,"buy-car/mazda/bt-50-pro/2018-mazda-bt-50-pro-freestyle-cab-v-2.2/cdc4000
",2023-10-28
18,2016 Mazda 2 SKYACTIV XD SPORTS HIGH PLUS L 1.5,"409,900 บาท","384,900
          บาท","104,071",ดีเซล,น้ำเงิน,"CARSOME Bangbon, Bang Bon",,carsome,"buy-car/mazda/2/2016-mazda-2-skyactiv-xd-sports-high-plus-l-1.5/c674000
",2023-10-28
19,2019 Mazda 3 SP SPORTS 2.0,"682,900 บาท","661,900
          บาท","69,711",เบนซิน,แดง,"CARSOME Ratchayothin, Lat Phrao",เบรคมือ เบรคมือไฟฟ้ามีเสียงดัง แต่ใช้งานได้ปกติ,carsome,"buy-car/mazda/3/2019-mazda-3-sp-sports-2.0/c2g4000
",2023-10-28
20,2017 Mazda 3 S SPORTS 2.0,"544,900 บาท","528,900
          บาท","162,276",เบนซิน,ดำ,"CARSOME Ratchayothin, Lat Phrao",กระจกหน้า กระจกหน้ามีรอยกระเทาะ กระจกหน้า กระจกหน้ามีรอยกระเทาะ,carsome,"buy-car/mazda/3/2017-mazda-3-s-sports-2.0/cae4000
",2023-10-28
21,2017 Mazda 2 HIGH CONNECT 1.3,"388,900 บาท","383,900
          บาท","129,834",เบนซิน,เทา,"CARSOME Bangyai, Pak Kret",,carsome,"buy-car/mazda/2/2017-mazda-2-high-connect-1.3/cje4000
",2023-10-28
22,2019 Mazda 2 SPORTS HIGH PLUS 1.3,"437,900 บาท","432,900
          บาท","21,505",เบนซิน,เทา,"CARSOME Srinagarindra, Pra Vet",,carsome,"buy-car/mazda/2/2019-mazda-2-sports-high-plus-1.3/ccf4000
",2023-10-28
23,2019 Mazda 2 SPORTS HIGH CONNECT 1.3,"426,900 บาท","421,900
          บาท","39,806",เบนซิน,น้ำเงิน,"CARSOME Srinagarindra, Pra Vet",กระจกหน้า กระจกหน้ามีรอยกระเทาะและรอยขีด กระจกหน้า กระจกหน้ามีรอยกระเทาะและรอยขีด กระจกประตูหน้าซ้าย กระจกประตูหน้าซ้ายมีรอยขีด,carsome,"buy-car/mazda/2/2019-mazda-2-sports-high-connect-1.3/cdg4000
",2023-10-28
24,2018 Mazda 2 SPORTS HIGH CONNECT 1.3,"406,900 บาท","401,900
          บาท","66,111",เบนซิน,ขาว,"CARSOME Srinagarindra, Pra Vet",ไฟหน้า ไฟหน้าซ้ายมีรอยขีด,carsome,"buy-car/mazda/2/2018-mazda-2-sports-high-connect-1.3/ctg4000
",2023-10-28
25,2020 Mazda 2 SP SPORTS (HATCHBACK) 1.3,"493,900 บาท","488,900
          บาท","42,409",เบนซิน,เทา,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/2/2020-mazda-2-sp-sports--hatchback--1.3/clh4000
",2023-10-28
26,2019 Mazda 2 SPORTS HIGH CONNECT 1.3,"426,900 บาท","421,900
          บาท","89,748",เบนซิน,แดง,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/2/2019-mazda-2-sports-high-connect-1.3/cfi4000
",2023-10-28
27,2015 Mazda 2 SPORTS XD HIGH PLUS 1.5,"393,900 บาท","388,900
          บาท","135,851",ดีเซล,แดง,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/2/2015-mazda-2-sports-xd-high-plus-1.5/cff4000
",2023-10-28
28,2020 Mazda CX-30 SP 2.0,"851,900 บาท","826,900
          บาท","18,935",เบนซิน,เทา,"CARSOME Rangsit, Khlong Luang",,carsome,"buy-car/mazda/cx-30/2020-mazda-cx-30-sp-2.0/c6g4000
",2023-10-28
29,2017 Mazda 2 SPORTS HIGH CONNECT 1.3,"381,900 บาท","376,900
          บาท","176,187",เบนซิน,ขาว,"CARSOME Srinagarindra, Pra Vet",คอนโซลหน้า / แผงควบคุม ระบบ i-Stop ใช้งานไม่ได้ เนื่องจากถูกปิดระบบมา,carsome,"buy-car/mazda/2/2017-mazda-2-sports-high-connect-1.3/cni4000
",2023-10-28
30,2019 Mazda 2 S (LEATHER) 1.3,"467,900 บาท","462,900
          บาท","65,212",เบนซิน,ดำ,"CARSOME Bangbon, Bang Bon",,carsome,"buy-car/mazda/2/2019-mazda-2-s--leather--1.3/coj4000
",2023-10-28
31,2019 Mazda 2 HIGH CONNECT 1.3,"423,900 บาท","418,900
          บาท","71,152",เบนซิน,แดง,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/2/2019-mazda-2-high-connect-1.3/crj4000
",2023-10-28
32,2019 Mazda 2 SPORTS HIGH CONNECT 1.3,"426,900 บาท","421,900
          บาท","54,754",เบนซิน,แดง,"CARSOME Rangsit, Khlong Luang",,carsome,"buy-car/mazda/2/2019-mazda-2-sports-high-connect-1.3/cbg4000
",2023-10-28
33,2019 Mazda 2 HIGH CONNECT 1.3,"423,900 บาท","418,900
          บาท","31,925",เบนซิน,แดง,"CARSOME Bangbon, Bang Bon",,carsome,"buy-car/mazda/2/2019-mazda-2-high-connect-1.3/c9j4000
",2023-10-28
34,2020 Mazda 2 SP 1.3,"477,900 บาท","472,900
          บาท","66,482",เบนซิน,เทา,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/2/2020-mazda-2-sp-1.3/c0h4000
",2023-10-28
35,2017 Mazda 2 XD HIGH PLUS L 1.5,"435,900 บาท","430,900
          บาท","86,480",ดีเซล,เทา,"CARSOME Bangyai, Pak Kret",,carsome,"buy-car/mazda/2/2017-mazda-2-xd-high-plus-l-1.5/cyh4000
",2023-10-28
36,2018 Mazda 2 HIGH CONNECT 1.3,"398,900 บาท","393,900
          บาท","94,262",เบนซิน,ขาว,"CARSOME Rangsit, Khlong Luang",คอนโซลหน้า / แผงควบคุม ระบบ i-Stop ใช้งานไม่ได้ เนื่องจากถูกปิดระบบมา,carsome,"buy-car/mazda/2/2018-mazda-2-high-connect-1.3/czh4000
",2023-10-28
37,2021 Mazda 2 C 1.3,"455,900 บาท","450,900
          บาท","28,527",เบนซิน,ดำ,"CARSOME Bangbon, Bang Bon",ไฟท้าย ไฟท้ายด้านขวาในฝากระโปรงหลังแตก,carsome,"buy-car/mazda/2/2021-mazda-2-c-1.3/cai4000
",2023-10-28
38,2021 Mazda 2 S SPORTS (LEATHER) 1.3,"488,900 บาท","483,900
          บาท","16,476",เบนซิน,เทา,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/2/2021-mazda-2-s-sports--leather--1.3/cpi4000
",2023-10-28
39,2017 Mazda 3 S SPORTS 2.0,"544,900 บาท","528,900
          บาท","123,019",เบนซิน,ดำ,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/3/2017-mazda-3-s-sports-2.0/cmb4000
",2023-10-28
40,2019 Mazda 2 SPORTS HIGH CONNECT 1.3,"426,900 บาท","421,900
          บาท","47,843",เบนซิน,แดง,"CARSOME Bangbon, Bang Bon",,carsome,"buy-car/mazda/2/2019-mazda-2-sports-high-connect-1.3/cxj4000
",2023-10-28
41,2017 Mazda 2 XD HIGH CONNECT 1.5,"422,900 บาท","417,900
          บาท","80,284",ดีเซล,น้ำตาล,"CARSOME Bangyai, Pak Kret",,carsome,"buy-car/mazda/2/2017-mazda-2-xd-high-connect-1.5/c1i4000
",2023-10-28
42,2021 Mazda CX-30 SP 2.0,"885,900 บาท","880,900
          บาท","27,986",เบนซิน,เทา,"CARSOME Ratchayothin, Lat Phrao",,carsome,"buy-car/mazda/cx-30/2021-mazda-cx-30-sp-2.0/coi4000
",2023-10-28
43,2017 Mazda 2 SPORTS HIGH PLUS 1.3,"402,900 บาท","397,900
          บาท","101,186",เบนซิน,เทา,"CARSOME Ratchayothin, Lat Phrao",กระจกหน้า กระจกหน้ามีรอยขีด กระจกประตูหลังขวา กระจกประตูหลังขวามีรอยขีด กระจกประตูหลังซ้าย กระจกประตูหลังซ้ายมีรอยขีด คอนโซลหน้า / แผงควบคุม ระบบ i-Stop ถูกปิด,carsome,"buy-car/mazda/2/2017-mazda-2-sports-high-plus-1.3/cik4000
",2023-10-28
44,2019 Mazda 2 HIGH CONNECT 1.3,"423,900 บาท","418,900
          บาท","59,432",เบนซิน,น้ำเงิน,"CARSOME Bangyai, Pak Kret",กระจกประตูหลังขวา กระจกประตูหลังขวามีรอยขีด หน้าจอแสดงผลมัลติฟังก์ชั่น ระบบ i-stop ปิดมาใช้งานไม่ได้,carsome,"buy-car/mazda/2/2019-mazda-2-high-connect-1.3/cal4000
",2023-10-28
45,2020 Mazda 2 E 1.3,"409,900 บาท","404,900
          บาท","35,144",เบนซิน,ขาว,"CARSOME Bangbon, Bang Bon",,carsome,"buy-car/mazda/2/2020-mazda-2-e-1.3/cok4000
",2023-10-28
46,2018 Mazda 2 HIGH CONNECT 1.3,"398,900 บาท","393,900
          บาท","105,888",เบนซิน,ขาว,"CARSOME Bangyai, Pak Kret",,carsome,"buy-car/mazda/2/2018-mazda-2-high-connect-1.3/cmk4000
",2023-10-28
